"name","geo","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy",".cluster"
"Romania","rou","Europe",2021-12-17,2021,15578522,NA,7708072,NA,36139,33746,81.44,NA,40.3,NA,1764,NA,NA,19127772,30683,586.903,4.81,75.7,"2"
"Russia","rus","Europe",2021-12-18,2021,139558409,71530632,63253115,5961958,1040659,629117,95.65,49.02,43.35,4.09,4312,255978,0.175,145912022,27197,3968.311,3.83,72.81,"2"
"Rwanda","rwa","Africa",2021-12-15,2021,11030100,6847793,4182307,NA,NA,125701,83.08,51.58,31.5,NA,9468,73824,0.556,13276517,2248,29.844,4.45,69.74,"3"
"Samoa","wsm","Asia",2021-12-13,2021,262895,141356,121539,NA,NA,1090,131.35,70.63,60.73,NA,5446,115,0.057,200144,5721,1.145,0.82,73.4,"2"
"San Marino","smr","Europe",2021-12-12,2021,52043,24282,21623,NA,NA,482,153.02,71.4,63.58,NA,14172,14,0.041,34010,56609,1.925,3.06,NA,NA
"Sao Tome and Principe","stp","Africa",2021-12-13,2021,137612,86396,51216,NA,NA,848,61.61,38.68,22.93,NA,3796,175,0.078,223364,3651,0.816,3.15,67.67,"3"
"Saudi Arabia","sau","Asia",2021-12-18,2021,48322955,24854157,22908284,NA,29323,42826,136.73,70.33,64.82,NA,1212,12461,0.035,35340680,44534,1573.878,1.99,77.43,"1"
"Senegal","sen","Africa",2021-12-15,2021,2269383,1328153,941230,NA,NA,29174,13.2,7.72,5.47,NA,1697,0,0,17196308,3408,58.608,3.16,69.16,"3"
"Serbia","srb","Europe",2021-12-14,2021,8099998,3291994,3172131,1635856,NA,11905,117.88,47.91,46.16,23.81,1733,1623,0.024,8697547,19227,167.232,4.92,76.31,"2"
"Seychelles","syc","Africa",2021-12-10,2021,182903,82117,78214,NA,NA,313,184.92,83.02,79.08,NA,3164,16,0.016,98910,25346,2.507,3.33,73.92,"2"
"Sierra Leone","sle","Africa",2021-12-08,2021,923880,747044,385232,NA,NA,4596,11.35,9.18,4.73,NA,565,3651,0.045,8141343,1658,13.501,1.38,62.14,"3"
"Singapore","sgp","Asia",2021-12-03,2021,9489264,4744632,4744632,NA,NA,53,174,87,87,NA,10,36,0.001,5896684,94610,557.883,2.04,85.42,"1"
"Slovak Republic","svk","Europe",2021-12-17,2021,5082098,2696761,2385337,NA,37,4389,93.07,49.38,43.68,NA,804,2222,0.041,5460726,31634,172.742,4.31,78.01,"2"
"Slovenia","svn","Europe",2021-12-18,2021,2798187,1241641,1178638,377908,1696,5823,134.61,59.73,56.7,18.18,2801,456,0.022,2078723,37825,78.628,4.2,81.71,"1"
"Solomon Islands","slb","Asia",2021-12-13,2021,228912,176593,52319,NA,NA,1605,32.52,25.08,7.43,NA,2280,1159,0.165,703995,2477,1.743,2.25,69.1,"3"
"Somalia","som","Africa",2021-12-09,2021,1147627,892093,664422,NA,NA,7046,7.02,5.45,4.06,NA,431,11652,0.071,16359500,673,11.013,0.29,59.83,"3"
"South Africa","zaf","Africa",2021-12-16,2021,27489267,18657599,15584899,NA,88489,82418,45.78,31.07,25.96,NA,1373,58132,0.097,60041996,11626,698.032,0.44,67.43,"3"
"South Korea","kor","Asia",2021-12-16,2021,93515220,43300593,41939065,9781164,1044228,744197,182.27,84.4,81.74,19.06,14505,56812,0.111,51305184,43897,2252.157,2.74,83.3,"1"
"South Sudan","ssd","Africa",2021-12-15,2021,268640,227262,181577,NA,NA,1243,2.36,2,1.6,NA,109,876,0.008,11381377,1800,20.482,3.47,60.26,"3"
"Spain","esp","Europe",2021-12-16,2021,82518671,38607797,37777929,10507992,451223,670109,176.53,82.59,80.82,22.48,14335,17065,0.037,46745211,38778,1812.676,4.25,83.58,"1"
"Sri Lanka","lka","Asia",2021-12-18,2021,32121217,15966704,13808331,2346182,294317,171675,149.42,74.27,64.23,10.91,7986,2056,0.01,21497306,12957,278.54,3.47,78.14,"2"
"St. Kitts and Nevis","kna","America North",2021-12-17,2021,54077,27484,25359,1234,NA,84,100.99,51.33,47.36,2.3,1569,18,0.034,53546,20653,1.106,8.89,NA,NA
"St. Lucia","lca","America North",2021-12-16,2021,103501,55278,48223,NA,211,138,56.13,29.98,26.15,NA,748,40,0.022,184401,12769,2.355,10.05,76.11,"2"
"St. Vincent and the Grenadines","vct","America North",2021-12-16,2021,59702,33192,25261,NA,NA,366,53.66,29.83,22.7,NA,3289,161,0.145,111269,11928,1.327,4.84,72.78,"2"
"Sudan","sdn","Africa",2021-12-15,2021,5251235,4016849,1234386,NA,NA,282083,11.69,8.94,2.75,NA,6281,176341,0.393,44909351,3638,163.378,-1.43,71.25,"3"
"Suriname","sur","America South",2021-12-16,2021,485656,260304,225352,NA,NA,446,82.06,43.99,38.08,NA,754,140,0.024,591798,14060,8.321,0.32,72.51,"2"
"Swaziland","swz","Africa",2021-12-14,2021,375012,320460,292063,NA,NA,4867,31.99,27.33,24.91,NA,4151,2886,0.246,1172369,8274,9.7,-0.18,62.69,"3"
"Sweden","swe","Europe",2021-12-17,2021,17049272,7707313,7326603,2015251,109728,66426,167.81,75.86,72.11,19.83,6538,6346,0.062,10160159,51272,520.928,1.98,83.08,"1"
"Switzerland","che","Europe",2021-12-16,2021,12974430,5929752,5780741,1412055,83725,67302,148.87,68.04,66.33,16.2,7722,4226,0.048,8715494,67374,587.199,1.58,84.55,"1"
"Syria","syr","Asia",2021-12-12,2021,1548574,1002945,763025,NA,NA,9014,8.47,5.49,4.18,NA,493,8008,0.044,18275704,3984,72.803,1.68,73.34,"3"
"Taiwan","twn","Asia",2021-12-17,2021,33911110,18585322,15325788,56580,96717,76619,142.16,77.91,64.25,0.24,3212,21234,0.089,23855008,57024,1360.312,2.98,80.63,"1"
"Tajikistan","tjk","Asia",2021-12-12,2021,5950710,4374694,3206282,NA,NA,34239,61.04,44.87,32.89,NA,3512,179498,1.841,9749625,3568,34.791,2.59,71.17,"2"
"Tanzania","tza","Africa",2021-12-06,2021,1699523,1592897,1078102,NA,NA,25891,2.76,2.59,1.75,NA,421,14452,0.023,61498438,2602,160.008,1.59,68.41,"3"
"Thailand","tha","Asia",2021-12-15,2021,98046970,50095106,43643486,4308378,NA,273342,140.17,71.61,62.39,6.16,3908,88176,0.126,69950844,17698,1237.997,5.45,78.96,"2"
"Timor-Leste","tls","Asia",2021-12-07,2021,1142003,652294,489709,NA,NA,4254,84.98,48.54,36.44,NA,3165,778,0.058,1343875,2904,3.902,1.68,71.74,"2"
"Togo","tgo","Africa",2021-12-10,2021,2159257,1349188,810069,NA,NA,32617,25.47,15.91,9.55,NA,3847,9619,0.113,8478242,1585,13.435,1.98,65.61,"3"
"Tonga","ton","Asia",2021-12-06,2021,119535,73296,46239,NA,NA,218,111.97,68.66,43.31,NA,2042,25,0.023,106759,6212,0.663,2.63,72.21,"2"
"Trinidad and Tobago","tto","America North",2021-12-18,2021,1362546,702844,659702,NA,1657,1428,97.09,50.08,47.01,NA,1018,624,0.044,1403374,24421,34.272,3.58,74.75,"2"
"Tunisia","tun","Africa",2021-12-17,2021,11225580,6386392,5451952,664237,41546,41154,94.05,53.51,45.68,5.57,3448,18397,0.154,11935764,9983,119.16,1.5,79.12,"2"
"Turkey","tur","Europe",2021-12-18,2021,123625349,56649405,51142896,15833048,480568,289258,145.37,66.61,60.14,18.62,3401,20230,0.024,85042736,29809,2535.062,2.29,79.96,"1"
"Turkmenistan","tkm","Asia",2021-08-29,2021,7580976,4374694,3206282,NA,NA,41369,123.91,71.51,52.41,NA,6762,23860,0.39,6117933,15988,97.812,2.83,70.6,"2"
"Tuvalu","tuv","Asia",2021-10-22,2021,12114,6230,5884,NA,NA,30,101.58,52.24,49.34,NA,2516,0,0,11925,4376,0.052,3.11,NA,NA
"Uganda","uga","Africa",2021-12-09,2021,7813170,6525371,1287799,NA,NA,127573,16.58,13.85,2.73,NA,2707,111956,0.238,47123533,2136,100.651,1.93,67.29,"3"
"Ukraine","ukr","Europe",2021-12-18,2021,27337230,14375344,12982566,NA,62668,114490,62.89,33.07,29.87,NA,2634,37207,0.086,43466822,12894,560.46,3.81,71.01,"2"
"United Arab Emirates","are","Asia",2021-12-14,2021,22181292,9890441,9020082,3270769,14538,27743,222.01,98.99,90.28,32.74,2777,12,0,9991083,61292,612.377,-0.46,73.9,"1"
"United Kingdom","gbr","Europe",2021-12-17,2021,125547048,51425763,46965009,27156276,890945,713932,184.07,75.4,68.86,39.81,10467,28029,0.041,68207114,43908,2994.811,4.59,81.35,"1"
"United States","usa","America North",2021-12-18,2021,493632529,241205528,202159045,59151766,7,864854,148.68,72.65,60.89,17.82,2605,203040,0.061,332915074,63517,21145.722,2.92,78.7,"4"
"Uruguay","ury","America South",2021-12-18,2021,6898468,2761543,2669607,1467318,1,5815,197.94,79.24,76.6,42.1,1669,884,0.025,3485152,20797,72.482,2.76,77.61,"2"
"Uzbekistan","uzb","Asia",2021-12-17,2021,36948391,18433447,NA,NA,200444,191160,108.88,54.32,NA,NA,5633,42611,0.126,33935765,7203,244.451,3.5,70.9,NA
"Vanuatu","vut","Asia",2021-12-13,2021,147609,100264,47345,NA,NA,874,46.94,31.88,15.06,NA,2779,589,0.187,314464,2802,0.881,1.89,65.27,"3"
"Venezuela","ven","America South",2021-12-17,2021,30049714,18393519,11608305,NA,NA,207518,104.68,64.08,40.44,NA,7229,109880,0.383,28704947,5285,151.709,-2.64,75.18,"2"
"Vietnam","vnm","Asia",2021-12-17,2021,137574609,75631255,NA,NA,NA,822602,140.14,77.04,NA,NA,8379,131129,0.134,98168829,8648,848.969,6.23,74.88,NA
"Yemen","yem","Asia",2021-12-02,2021,786027,556652,366587,NA,NA,2545,2.58,1.83,1.2,NA,83,1809,0.006,30490639,2372,72.321,0.1,68.25,"3"
"Zambia","zmb","Africa",2021-12-18,2021,1407055,NA,956814,NA,NA,23552,7.44,NA,5.06,NA,1245,NA,NA,18920657,3173,60.027,-1.91,64.61,"3"
"Zimbabwe","zwe","Africa",2021-12-17,2021,7092391,4038743,3053648,NA,33917,27618,46.99,26.76,20.23,NA,1830,14384,0.095,15092171,2587,39.047,1.87,62.51,"3"
