"","name","geo","region","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy","calcul_vac_100hab","match"
"98","Japan","jpn","pays",2021-11-12,2021,NA,NA,NA,NA,NA,360283,NA,NA,NA,NA,2858,82365,0.065,126050796,41241,5198413930090,2.95,84.78,NA,NA
"99","Jersey","jey","pays",2021-11-12,2021,NA,NA,NA,NA,NA,488,NA,NA,NA,NA,4828,33,0.033,NA,NA,NA,NA,NA,NA,NA
"100","Jordan","jor","pays",2021-11-12,2021,7632014,4031732,3600282,NA,2531,11947,74.32,39.26,35.06,NA,1163,5955,0.058,10269022,9828,100926719038,1.86,79.86,74.32,"Correct"
"101","Kazakhstan","kaz","pays",2021-11-12,2021,16278843,8501375,7777468,NA,47029,40875,85.7,44.76,40.94,NA,2152,18410,0.097,18994958,25820,490455386925,2.69,73.19,85.7,"Correct"
"102","Kenya","ken","pays",2021-11-12,2021,NA,NA,NA,NA,NA,45211,NA,NA,NA,NA,822,11446,0.021,54985702,4446,244452714976,3.4,67.18,NA,NA
"103","Kiribati","kir","pays",2021-11-12,2021,NA,NA,NA,NA,NA,363,NA,NA,NA,NA,2990,176,0.145,121388,2226,270175518,0.81,63.33,NA,NA
"104","Kuwait","kwt","pays",2021-11-12,2021,NA,NA,NA,NA,NA,36209,NA,NA,NA,NA,8365,12350,0.285,4328553,43633,188867337043,0.43,83.54,NA,NA
"105","Kyrgyz Republic","kgz","pays",2021-11-12,2021,1854174,1037598,812885,NA,10703,8208,27.97,15.65,12.26,NA,1238,3755,0.057,6628347,4919,32604071363,2.41,73.27,27.97,"Correct"
"106","Lao","lao","pays",2021-11-12,2021,NA,NA,NA,NA,NA,18536,NA,NA,NA,NA,2512,18953,0.257,7379358,7924,58475698836,4.12,68.81,NA,NA
"107","Latvia","lva","pays",2021-11-12,2021,2088050,1229962,1109378,NA,11843,10676,111.84,65.88,59.42,NA,5718,4606,0.247,1866934,31298,58431995073,5.4,75.67,111.84,"Correct"
"108","Lebanon","lbn","pays",2021-11-12,2021,3437857,1834075,1603782,NA,13384,9888,50.79,27.09,23.69,NA,1461,4397,0.065,6769151,10016,67800313287,-3.79,78.23,50.79,"Correct"
"109","Lesotho","lso","pays",2021-11-12,2021,NA,NA,NA,NA,NA,6167,NA,NA,NA,NA,2856,6158,0.285,2159067,2621,5659534582,3.02,57.04,NA,NA
"110","Liberia","lbr","pays",2021-11-12,2021,NA,NA,NA,NA,NA,9442,NA,NA,NA,NA,1823,6255,0.121,5180208,1365,7071130071,2.17,65.83,NA,NA
"111","Libya","lby","pays",2021-11-12,2021,NA,NA,NA,NA,NA,11098,NA,NA,NA,NA,1595,3718,0.053,6958538,13840,96309431432,4.4,73.67,NA,NA
"112","Liechtenstein","lie","pays",2021-11-12,2021,49466,25523,24787,1,78,48,129.31,66.72,64.8,0,1255,35,0.091,38254,NA,NA,NA,NA,129.31,"Correct"
"113","Lithuania","ltu","pays",2021-11-12,2021,3494843,1837634,1748657,145908,14578,9002,129.93,68.32,65.01,5.42,3347,2144,0.08,2689862,38117,102529312834,3.22,75.75,129.93,"Correct"
"114","Luxembourg","lux","pays",2021-11-12,2021,857513,440808,NA,36157,2513,1874,135.08,69.44,NA,5.7,2952,492,0.078,634814,113004,71736259697,1.67,82.26,135.08,"Correct"
"115","Macao","mac","pays",2021-11-12,2021,NA,NA,NA,NA,NA,4001,NA,NA,NA,NA,6077,834,0.127,NA,NA,NA,NA,NA,NA,NA
"116","Madagascar","mdg","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1398,NA,NA,NA,NA,49,2531,0.009,28427333,1548,44009545955,2.46,64.87,NA,NA
"117","Malawi","mwi","pays",2021-11-12,2021,NA,NA,NA,NA,NA,5028,NA,NA,NA,NA,256,4558,0.023,19647681,1029,20225105145,3.52,65.04,NA,NA
"118","Malaysia","mys","pays",2021-11-12,2021,51729790,25747798,25185667,981985,116771,100956,157.83,78.56,76.84,3,3080,6860,0.021,32776195,27805,911343281537,4.67,75.34,157.83,"Correct"
"119","Maldives","mdv","pays",2021-11-12,2021,NA,NA,NA,NA,NA,258,NA,NA,NA,NA,475,37,0.007,543620,15216,8271841576,11.5,82.66,NA,NA
"120","Mali","mli","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1657,NA,NA,NA,NA,79,8832,0.042,20855724,2230,46510796484,2.9,63.65,NA,NA
"121","Malta","mlt","pays",2021-11-12,2021,903363,432980,430414,71828,2125,2372,175.04,83.89,83.4,13.92,4596,167,0.032,442790,40243,17819165862,4.53,81.6,204.02,"Incorrect"
"122","Mauritania","mrt","pays",2021-11-12,2021,NA,NA,NA,NA,NA,8203,NA,NA,NA,NA,1718,3379,0.071,4775110,5020,23969502966,3.26,71.46,NA,NA
"123","Mauritius","mus","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1507,NA,NA,NA,NA,1183,409,0.032,1273428,20525,26137579335,5.22,75.31,NA,NA
"124","Mexico","mex","pays",2021-11-12,2021,NA,NA,NA,NA,NA,295212,NA,NA,NA,NA,2266,78497,0.06,130262220,18691,2434774026047,2.09,75.8,NA,NA
"125","Moldova","mda","pays",2021-11-12,2021,NA,NA,NA,NA,NA,2909,NA,NA,NA,NA,723,3062,0.076,4024025,13076,52616590074,5.89,73.31,NA,NA
"126","Mongolia","mng","pays",2021-11-12,2021,4401882,2257457,2144425,NA,1460,671,132.22,67.81,64.41,NA,202,206,0.006,3329282,11830,39386189135,5.75,69.68,132.22,"Correct"
"127","Montenegro","mne","pays",2021-11-12,2021,512394,264068,248326,NA,1380,1025,81.58,42.05,39.54,NA,1632,654,0.104,628051,19939,12522485588,5.43,76.98,81.58,"Correct"
"128","Montserrat","msr","pays",2021-11-12,2021,2949,1531,1417,NA,NA,1,59.2,30.74,28.45,NA,201,1,0.02,NA,NA,NA,NA,NA,NA,NA
"129","Morocco","mar","pays",2021-11-12,2021,NA,NA,NA,NA,NA,44023,NA,NA,NA,NA,1179,17610,0.047,37344787,7156,267222995456,2.89,74.85,NA,NA
"130","Mozambique","moz","pays",2021-11-12,2021,NA,NA,NA,NA,NA,155146,NA,NA,NA,NA,4824,121141,0.377,32163045,1235,39712828055,1.99,60.79,NA,NA
"131","Myanmar","mmr","pays",2021-11-12,2021,NA,NA,NA,NA,NA,301381,NA,NA,NA,NA,5499,112078,0.204,54806014,4769,261393458894,0.78,69.53,NA,NA
"132","Namibia","nam","pays",2021-11-12,2021,NA,NA,NA,NA,NA,2233,NA,NA,NA,NA,863,978,0.038,2587344,8663,22415341938,0.43,67.94,NA,NA
"133","Nepal","npl","pays",2021-11-12,2021,NA,NA,NA,NA,NA,40918,NA,NA,NA,NA,1379,17091,0.058,29674920,3361,99737368107,2.87,72.11,NA,NA
"134","Netherlands","nld","pays",2021-11-12,2021,NA,NA,NA,NA,NA,17860,NA,NA,NA,NA,1040,9729,0.057,17173094,56038,962349111579,2.7,82.08,NA,NA
"135","New Caledonia","ncl","pays",2021-11-12,2021,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,2082,138,0.048,NA,NA,NA,NA,NA,NA,NA
"136","New Zealand","nzl","pays",2021-11-12,2021,7175545,3784570,3386811,4164,23667,23305,140.08,73.88,66.12,0.08,4549,5860,0.114,4860642,42920,208619758021,2.08,82.21,147.63,"Incorrect"
"137","Nicaragua","nic","pays",2021-11-12,2021,NA,NA,NA,NA,NA,311302,NA,NA,NA,NA,46446,185228,2.764,6702379,5244,35147363510,1.64,79.7,NA,NA
"138","Niger","ner","pays",2021-11-12,2021,NA,NA,NA,NA,NA,3719,NA,NA,NA,NA,148,399,0.002,25130810,1229,30877172412,8.68,63.93,NA,NA
"139","Nigeria","nga","pays",2021-11-12,2021,NA,NA,NA,NA,NA,25458,NA,NA,NA,NA,120,13372,0.006,211400704,4916,1039200012005,-0.22,66,NA,NA
