"name","geo","region","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"Croatia","hrv","pays","europe",2021-11-14,2021,3852323,2048628,1859418,NA,6610,21141,94.38,50.19,45.56,NA,5180,13048,0.32,4081657,27836,113616462429,5.82,79.13
"Cuba","cub","pays","america_north",2021-11-14,2021,27424183,10086396,8679636,NA,139995,142941,242.32,89.12,76.69,NA,12630,7327,0.065,11317498,10179,115195724719,2.11,78.75
"Curacao","cuw","pays",NA,2021-11-14,2021,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,1098,72,0.044,NA,NA,NA,NA,NA
"Cyprus","cyp","pays","europe",2021-11-14,2021,NA,NA,NA,NA,NA,2377,NA,NA,NA,NA,2653,441,0.049,1215588,37790,45936740708,2.72,82.34
"Czech Republic","cze","pays","europe",2021-11-14,2021,12807455,6429692,6198340,516467,8915,37430,119.42,59.95,57.8,4.82,3490,13014,0.121,10724553,39892,427829124144,4.02,79.77
"Congo, Dem. Rep.","cod","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,1647,NA,NA,NA,NA,18,934,0.001,92377986,1068,98630619441,1.56,63.63
"Denmark","dnk","pays","europe",2021-11-14,2021,9374845,4515996,4426999,472813,NA,17788,161.27,77.68,76.15,8.13,3060,3829,0.066,5813302,57128,332102152627,2.54,81.25
"Djibouti","dji","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,271,NA,NA,NA,NA,270,271,0.027,1002197,5444,5456188032,2.58,69.25
"Dominica","dma","pays","america_north",2021-11-14,2021,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,1580,38,0.053,72172,10631,767251752,5.84,NA
"Dominican Republic","dom","pays","america_north",2021-11-14,2021,13569866,6819570,5467873,1282423,3868,21135,123.88,62.26,49.92,11.71,1929,5717,0.052,10953714,17778,194737018412,3.98,73.82
"Ecuador","ecu","pays","america_south",2021-11-14,2021,23372031,13069423,10552429,164973,19846,80082,130.65,73.06,58.99,0.92,4477,44693,0.25,17888474,10489,187625789704,-0.11,77.57
"Egypt","egy","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,546088,NA,NA,NA,NA,5238,306533,0.294,104258327,12000,1251069058922,3.59,71.29
"El Salvador","slv","pays","america_north",2021-11-14,2021,8888705,4380340,3978938,529427,NA,21866,136.36,67.2,61.04,8.12,3354,3981,0.061,6518500,8278,53957646545,2.33,74.9
"Equatorial Guinea","gnq","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,424,NA,NA,NA,NA,292,194,0.013,1449891,17027,24686678094,-8.81,67
"Estonia","est","pays","europe",2021-11-14,2021,1459336,815831,774178,NA,456,1508,110.12,61.56,58.42,NA,1138,1103,0.083,1325188,37024,49064341207,4.2,78.77
"Swaziland","swz","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,1535,NA,NA,NA,NA,1309,1959,0.167,1172369,8274,9700171307,-0.18,62.69
"Ethiopia","eth","pays","africa",2021-11-14,2021,NA,NA,NA,NA,NA,4183,NA,NA,NA,NA,35,1246,0.001,117876226,2328,274383888384,6.96,69.88
"Europe","europe","continent",NA,2021-11-14,2021,899221797,456436767,421817299,39174513,2720656,2911821,120.06,60.94,56.32,5.23,3888,909844,0.121,850833567,36581,31122935030634,4.2,78.97
"Fiji","fji","pays","asia",2021-11-14,2021,NA,NA,NA,NA,NA,1617,NA,NA,NA,NA,1791,274,0.03,902899,11511,10392849135,8.4,68.52
"Finland","fin","pays","europe",2021-11-14,2021,8386285,4261161,3978995,146129,NA,12364,151.15,76.8,71.71,2.63,2228,1879,0.034,5548361,48369,268370261833,2.44,82.1
"France","fra","pays","europe",2021-11-14,2021,101436132,51708379,46397035,4385073,13691,160288,150.13,76.53,68.67,6.49,2372,17797,0.026,65426177,44559,2915321433252,3.93,83.33
