"name","geo","region","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"Switzerland","che","pays","Europe",2021-12-15,2021,12880108,5924502,5775307,1330669,81714,66640,147.78,67.98,66.26,15.27,7646,4247,0.049,8715494,67374,587.199,1.58,84.55
"Syria","syr","pays","Asia",2021-12-12,2021,1548574,1002945,763025,NA,NA,9014,8.47,5.49,4.18,NA,493,8008,0.044,18275704,3984,72.803,1.68,73.34
"Taiwan","twn","pays","Asia",2021-12-16,2021,33814393,18562693,15251700,47494,61759,87748,141.75,77.81,63.94,0.2,3678,24397,0.102,23855008,57024,1360.312,2.98,80.63
"Tajikistan","tjk","pays","Asia",2021-12-12,2021,5950710,4374694,3206282,NA,NA,34239,61.04,44.87,32.89,NA,3512,179498,1.841,9749625,3568,34.791,2.59,71.17
"Tanzania","tza","pays","Africa",2021-12-06,2021,1699523,1592897,1078102,NA,NA,25891,2.76,2.59,1.75,NA,421,14452,0.023,61498438,2602,160.008,1.59,68.41
"Thailand","tha","pays","Asia",2021-12-15,2021,98046970,50095106,43643486,4308378,NA,273342,140.17,71.61,62.39,6.16,3908,88176,0.126,69950844,17698,1237.997,5.45,78.96
"Timor-Leste","tls","pays","Asia",2021-12-07,2021,1142003,652294,489709,NA,NA,4254,84.98,48.54,36.44,NA,3165,778,0.058,1343875,2904,3.902,1.68,71.74
"Togo","tgo","pays","Africa",2021-12-10,2021,2159257,1349188,810069,NA,NA,32617,25.47,15.91,9.55,NA,3847,9619,0.113,8478242,1585,13.435,1.98,65.61
"Tokelau","tkl","pays",NA,2021-10-12,2021,1936,968,968,NA,NA,17,141.52,70.76,70.76,NA,12427,0,0,NA,NA,NA,NA,NA
"Tonga","ton","pays","Asia",2021-12-06,2021,119535,73296,46239,NA,NA,218,111.97,68.66,43.31,NA,2042,25,0.023,106759,6212,0.663,2.63,72.21
"Trinidad and Tobago","tto","pays","America North",2021-12-16,2021,1359411,701503,657908,NA,1747,1473,96.87,49.99,46.88,NA,1050,650,0.046,1403374,24421,34.272,3.58,74.75
"Tunisia","tun","pays","Africa",2021-12-15,2021,11144463,6349206,5416468,638488,46351,40958,93.37,53.19,45.38,5.35,3432,17285,0.145,11935764,9983,119.16,1.5,79.12
"Turkey","tur","pays","Europe",2021-12-16,2021,122393466,56610525,51073891,14709050,356339,142777,143.92,66.57,60.06,17.3,1679,20345,0.024,85042736,29809,2535.062,2.29,79.96
