"name","geo","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy",".cluster"
"Tunisia","tun","Africa",2021-12-19,2021,11327165,6427305,5495388,701546,45314,44984,94.9,53.85,46.04,5.88,3769,19229,0.161,11935764,9983,119.16,1.5,79.12,"2"
"Turkey","tur","Europe",2021-12-20,2021,124912525,56684204,51202223,17026098,853834,444070,146.88,66.65,60.21,20.02,5222,19958,0.023,85042736,29809,2535.062,2.29,79.96,"3"
"Turkmenistan","tkm","Asia",2021-08-29,2021,7580976,4374694,3206282,NA,NA,41369,123.91,71.51,52.41,NA,6762,23860,0.39,6117933,15988,97.812,2.83,70.6,"2"
"Tuvalu","tuv","Asia",2021-10-22,2021,12114,6230,5884,NA,NA,30,101.58,52.24,49.34,NA,2516,0,0,11925,4376,0.052,3.11,NA,NA
"Uganda","uga","Africa",2021-12-20,2021,9763030,8354808,1408222,NA,NA,177260,20.72,17.73,2.99,NA,3762,166312,0.353,47123533,2136,100.651,1.93,67.29,"4"
"Ukraine","ukr","Europe",2021-12-20,2021,27483918,14422441,13082157,NA,110661,109297,63.23,33.18,30.1,NA,2514,35435,0.082,43466822,12894,560.46,3.81,71.01,"2"
"United Arab Emirates","are","Asia",2021-12-14,2021,22181292,9890441,9020082,3270769,14538,27743,222.01,98.99,90.28,32.74,2777,12,0,9991083,61292,612.377,-0.46,73.9,"1"
"United Kingdom","gbr","Europe",2021-12-19,2021,127528154,51498034,47051876,28978244,919521,844579,186.97,75.5,68.98,42.49,12383,31267,0.046,68207114,43908,2994.811,4.59,81.35,"1"
"United States","usa","America North",2021-12-20,2021,496239573,241881712,202527536,60715948,3,918251,149.47,72.85,61,18.29,2766,221446,0.067,332915074,63517,21145.722,2.92,78.7,"1"
"Uruguay","ury","America South",2021-12-20,2021,6911417,2762732,2670347,1478338,12949,6577,198.31,79.27,76.62,42.42,1887,775,0.022,3485152,20797,72.482,2.76,77.61,"3"
"Uzbekistan","uzb","Asia",2021-12-19,2021,37347464,18519076,NA,NA,194756,192752,110.05,54.57,NA,NA,5680,41068,0.121,33935765,7203,244.451,3.5,70.9,NA
"Vanuatu","vut","Asia",2021-12-20,2021,152711,102308,50403,NA,NA,729,48.56,32.53,16.03,NA,2318,292,0.093,314464,2802,0.881,1.89,65.27,"4"
"Venezuela","ven","America South",2021-12-17,2021,30049714,18393519,11608305,NA,NA,207518,104.68,64.08,40.44,NA,7229,109880,0.383,28704947,5285,151.709,-2.64,75.18,"2"
"Vietnam","vnm","Asia",2021-12-18,2021,138772562,75697403,NA,NA,1197953,929446,141.36,77.11,NA,NA,9468,123606,0.126,98168829,8648,848.969,6.23,74.88,NA
"Yemen","yem","Asia",2021-12-02,2021,786027,556652,366587,NA,NA,2545,2.58,1.83,1.2,NA,83,1809,0.006,30490639,2372,72.321,0.1,68.25,"4"
"Zambia","zmb","Africa",2021-12-20,2021,1434513,NA,978860,NA,9751,24265,7.58,NA,5.17,NA,1282,NA,NA,18920657,3173,60.027,-1.91,64.61,"4"
"Zimbabwe","zwe","Africa",2021-12-20,2021,7135013,4060322,3074691,NA,11329,25553,47.28,26.9,20.37,NA,1693,13220,0.088,15092171,2587,39.047,1.87,62.51,"4"
